name,is_airmover,is_dehum,default_charge_rate_per_interval,default_charging_interval,default_charge_rate_per_week,default_buy_cost_per_interval
Tent - 6m x 4m (rescue/cover),,,"$210,00 ",day,"$840,00","$16,80"
Tile & Grout Cleaner,,,"$68,25 ",day,"$273,00","$5,46"
Trailer,,,"$48,50 ",day,"$194,00","$3,88"
Trailer - Water Cart,,,"$115,00 ",day,"$460,00","$9,20"
"Travel - Over 100 kms (round trip, per km)",,,"$1,00 ",each,,"$1,00"
Trolley,,,"$18,90 ",day,"$75,60","$1,51"
Truck - 3 Tonne,,,"$225,75 ",day,"$903,00","$18,06"
Truck - 5 Tonne,,,"$294,00 ",day,"$1 176,00","$23,52"
Truck - 8 Tonne,,,"$341,25 ",day,"$1 365,00","$27,30"
Ultrasonic Decontamination Vat,,,"$304,50 ",day,"$1 218,00","$24,36"
Vacuum - Antistatic,,,"$152,25 ",day,"$609,00","$12,18"
Vacuum - Commercial,,,"$25,00 ",hour,,"$2,00"
Vacuum - Flood Extraction High Volume,,,"$94,50 ",day,"$378,00","$7,56"
Vacuum - HEPA,,,"$94,50 ",day,"$378,00","$7,56"
Vacuum - Industrial,,,"$141,75 ",day,"$567,00","$11,34"
Vacuum - Wet & Dry,,,"$94,50 ",day,"$378,00","$7,56"
Waste Removal (per m3),,,"$68,25 ",each,,"$5,46"
Waste Removal - Carpet & Underlay (per sqm),,,"$3,00 ",each,,"$0,00"
Waste Removal - Carpet/Underlay/Vinyl (per sqm),,,"$1,50 ",each,,"$0,12"
Waste Removal - Mattresses,,,"$49,14 ",each,,"$3,93"
Water Bead Blaster,,,"$168,00 ",day,"$672,00","$13,44"
Water Di-ioniser,,,"$31,50 ",day,"$126,00","$2,52"
Zip Wall (wall up to 3 poles),,,"$30,00 ",day,"$120,00","$2,40"
