name,display_name,description
accounts,Accounts,
administrator,Administrator,
agency,Agency,
branch_franchise_manager,Branch / Franchise Manager,
business_development,Business Development,
cco,CCO,
cso_am,CSO/AM,
executive,Executive,
crew,Crew,
after_hours_crew,After Hours Crew,
team_leader,Team Leader,
warehouse,Warehouse,
operations,Operations,
scheduler,Scheduler,
